context_id	word	gold_sense_id	predict_sense_id	positions	context	context_wo	contextmorph	wordpos	feature_cos	feature_prob
1	дар	1	0	18-22	Отвергнуть щедрый дар	Отвергнуть щедрый	отвергать_VERB щедрый_ADJ	дар_NOUN	[0.7531211, 0.31753352, 0.43184838, 0.34359467, 0.3427364, 0.3976531, 0.42096314, 0.3693876, 0.25753662]	[0.6209667614026362, 0.5586842328199068, 0.579046030753896, 0.5658078843067446, 0.5641240613114294, 0.5739783457251805, 0.5811552387437565, 0.5701889208658522, 0.5489347948982604]
2	дар	1	4	21-28	покупать преданность дарами и наградами	покупать преданность  и наградами	покупать_VERB преданность_NOUN и_SCONJ награда_NOUN	дар_NOUN	[0.56968313, 0.27501416, 0.39707762, 0.34508833, 0.39204067, 0.32103106, 0.3946584, 0.33928958, 0.23552491]	[0.5692368253246155, 0.5380415699348666, 0.5544952920065759, 0.5494619602953426, 0.5548334175201816, 0.5447905629214608, 0.5570508222561267, 0.5482929328313693, 0.5334629288896744]
3	дар	1	5	19-23	Вот яд – последний дар моей Изоры	Вот яд – последний  моей Изоры	вот_PART яд_NOUN последний_ADJ мой_DET изор_NOUN	дар_NOUN	[0.3316101, 0.23663059, 0.2754821, 0.2105859, 0.24650952, 0.35981315, 0.27125472, 0.23822552, 0.2574443]	[0.5541277627051814, 0.5438221070807826, 0.5506764679710937, 0.5404795861004756, 0.5462433999559156, 0.5670277714304216, 0.5525654141978928, 0.5454414288073179, 0.5489173736377523]
4	дар	1	3	81-87	Основная функция корильных песен – повеселить участников свадьбы и побудить их к дарам	Основная функция корильных песен – повеселить участников свадьбы и побудить их к	основной_ADJ функция_NOUN корильный_ADJ песня_NOUN повеселить_VERB участник_NOUN свадьба_NOUN и_SCONJ побуждать_VERB они_PRON к_NOUN	дар_NOUN	[0.39333254, 0.23830967, 0.29401386, 0.26981005, 0.25628492, 0.23945104, 0.23524089, 0.29302844, 0.14361164]	[0.5526658181168816, 0.5362245769235526, 0.544393012364185, 0.5425256613080188, 0.5394605470413862, 0.5367382303094675, 0.5374553882852956, 0.54583923401688, 0.5224364688283327]
5	дар	1	4	151-157	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините, даров	Но недели две спустя (Алевтина его когда-то об этом просила) он отправляет ей с рабочими изящный шкафчик, счет, конечно, приложен – никаких, извините,	но_SCONJ неделя_NOUN два_NUM спустя_ADP алевтина_NOUN он_PRON когда_ADV то_PART об_ADP это_PRON просить_VERB он_PRON отправлять_VERB она_PRON с_NOUN рабочий_NOUN изящный_ADJ шкафчик_NOUN счет_NOUN конечно_ADV прикладывать_VERB никакой_DET извинять_VERB	дар_NOUN	[0.39914796, 0.30726495, 0.4655586, 0.2903132, 0.45273963, 0.35213763, 0.25702158, 0.3874764, 0.20636305]	[0.5453671386608898, 0.5395955847967548, 0.5594874351384599, 0.5388200612423405, 0.5589641441961665, 0.5457720791192444, 0.5347141744601653, 0.551366505032728, 0.5273322893061645]
6	дар	1	6	95-99	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости: дар беднейшему – бедных богатство	Мать Ревекки приберегала кусок и на праздник пекла для калеки любимое блюдо, сияя от гордости:  беднейшему – бедных богатство	мать_NOUN ревекка_NOUN приберегать_VERB кусок_NOUN и_SCONJ на_ADP праздник_NOUN печь_VERB для_ADP калека_NOUN любимый_ADJ блюдо_NOUN сиять_VERB от_ADP гордость_NOUN бедный_ADJ бедный_ADJ богатство_NOUN	дар_NOUN	[0.59370995, 0.39841878, 0.46247125, 0.41428247, 0.39579654, 0.42170694, 0.59194547, 0.44760922, 0.2709264]	[0.561081460307317, 0.5465404988885926, 0.5536571957975528, 0.5501882493869532, 0.5468454606984128, 0.5497033812269522, 0.5721411724906525, 0.5538132740106835, 0.5325402098074126]
7	дар	1	7	205-210	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все дары мне делались без спросу	Время от времени Лидия Михайловна «доставала» нам – то штаны, то пресловутый шкаф. Мне не хотелось чувствовать себя у нее в долгу, но надо было быть благодарным: все это и вправду было нам нужно, хотя все  мне делались без спросу	время_NOUN от_ADP время_NOUN лидия_NOUN михайловна_NOUN доставать_VERB мы_PRON то_PART штаны_NOUN то_PART пресловутый_ADJ шкаф_NOUN я_PRON не_PART хотеться_VERB чувствовать_VERB себя_PRON у_ADP она_PRON в_NOUN долг_NOUN но_SCONJ надо_ADV быть_VERB быть_VERB благодарный_ADJ все_PRON это_PRON и_SCONJ вправду_ADV быть_VERB мы_PRON нужно_ADV хотя_PART все_PRON я_PRON делаться_VERB без_ADP спрос_NOUN	дар_NOUN	[0.5548763, 0.30995283, 0.39990315, 0.30307335, 0.27171645, 0.35591057, 0.35114095, 0.35751656, 0.22491275]	[0.5687635692792027, 0.543686795846438, 0.5559454262603739, 0.5443190251763369, 0.5388262218362384, 0.5505914753771258, 0.5517936730666059, 0.551858578660594, 0.5325832842299794]
8	дар	1	4	80-84	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе дар правительства Москвы – учебники	Недавно приезжавший в Оргеев посол РФ в Молдавии Павел Петровский передал школе  правительства Москвы – учебники	недавно_ADV приезжать_VERB в_NOUN оргеев_NOUN посол_NOUN рф_NOUN в_NOUN молдавия_NOUN павел_NOUN петровский_NOUN передавать_VERB школа_NOUN правительство_NOUN москва_NOUN учебник_NOUN	дар_NOUN	[0.32947156, 0.25916985, 0.3761388, 0.36493453, 0.56323415, 0.25171098, 0.28185308, 0.3532284, 0.13554001]	[0.5372526622516896, 0.5332146463726711, 0.5478488027305031, 0.5484457857189721, 0.5727283821886053, 0.5325637240622156, 0.5378242291103642, 0.5465699665869144, 0.5178525972255965]
9	дар	2.1	6	18-22	Жизнь – бесценный дар	Жизнь – бесценный	жизнь_NOUN бесценный_ADJ	дар_NOUN	[0.43645108, 0.44190457, 0.4208435, 0.2893769, 0.25980175, 0.48880553, 0.5626004, 0.4026, 0.44731206]	[0.5552496762850346, 0.5632999733680761, 0.5599660626952321, 0.5431335283564529, 0.537839332594125, 0.5705828842166638, 0.5840736918346839, 0.5594499914101173, 0.565755605155624]
10	дар	2.1	5	25-29	Такая любовь – настоящий дар судьбы	Такая любовь – настоящий  судьбы	такой_DET любовь_NOUN настоящий_ADJ судьба_NOUN	дар_NOUN	[0.4404498, 0.49113145, 0.48078698, 0.31350985, 0.29111427, 0.5674199, 0.37163612, 0.44624856, 0.4420247]	[0.5716790109170646, 0.5901898739186748, 0.5878277530241451, 0.5601041392354825, 0.5545494516420395, 0.6047669236944068, 0.571785624287322, 0.5845376062899158, 0.5834706293423696]
11	дар	2.1	7	18-23	Неисчислимы Божии дары	Неисчислимы Божии	неисчислимый_ADJ божий_ADJ	дар_NOUN	[0.39510506, 0.67064524, 0.64570135, 0.45423004, 0.4042581, 0.62364566, 0.55129665, 0.6325021, 0.4789792]	[0.5505751593675842, 0.5963781115805988, 0.5923506857332143, 0.568161136646294, 0.5593309957997207, 0.5906004527256598, 0.58326585667795, 0.593707972620071, 0.5710806144608058]
12	дар	2.1	5	0-4,15-19	Дар напрасный, дар случайный, / Жизнь, зачем ты мне дана?	напрасный,  случайный, / Жизнь, зачем ты мне дана?	напрасный_ADJ случайный_ADJ жизнь_NOUN зачем_ADV ты_PRON я_PRON давать_VERB	дар_NOUN	[0.26358354, 0.3855833, 0.32056683, 0.17268239, 0.18483491, 0.42052054, 0.31216782, 0.30210146, 0.4041268]	[0.543086111106795, 0.5711053808790171, 0.5588985060775641, 0.5332174425870587, 0.5347171057200544, 0.578164772116172, 0.56042145341998, 0.5575292715714809, 0.5764313295894125]
13	дар	2.1	7	70-75	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на дары Божии: небо ясное, воздух чистый, травка нежная	Господа, – воскликнул я вдруг от всего сердца, – посмотрите кругом на  Божии: небо ясное, воздух чистый, травка нежная	господин_NOUN восклицать_VERB я_PRON вдруг_ADV от_ADP всего_PART сердце_NOUN посмотреть_VERB кругом_ADV на_ADP божий_ADJ небо_NOUN ясный_ADJ воздух_NOUN чистый_ADJ травка_NOUN нежный_ADJ	дар_NOUN	[0.4802564, 0.6430293, 0.6293431, 0.39673582, 0.37241843, 0.6459204, 0.48308495, 0.63342375, 0.42893937]	[0.5581042888117415, 0.5876325689468154, 0.5853157449443336, 0.5564428130616345, 0.5517767050221689, 0.5888280227008057, 0.5692402245607997, 0.5889039594848278, 0.5603460587508449]
14	дар	2.1	6	82-87	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на дары	Слишком многого она ожидала, слишком многого требовала от жизни, которая скупа на	слишком_ADV многое_PRON она_PRON ожидать_VERB слишком_ADV многое_PRON требовать_VERB от_ADP жизнь_NOUN который_DET скупой_ADJ на_ADP	дар_NOUN	[0.4444813, 0.36879826, 0.34604874, 0.25508153, 0.25508916, 0.4317621, 0.39755034, 0.3148927, 0.36061323]	[0.5567120030865147, 0.5533418173368859, 0.5497850910964505, 0.5383513178286813, 0.537457023933396, 0.562940648391771, 0.5601740634100061, 0.54696139585281, 0.5535477194256256]
15	дар	2.1	8	67-71	То, что выглядит как наша жертва Ему, в высшей реальности есть Его дар нам	То, что выглядит как наша жертва Ему, в высшей реальности есть Его  нам	то_PART что_PRON выглядеть_VERB как_ADV наш_DET жертва_NOUN он_PRON в_NOUN высокий_ADJ реальность_NOUN быть_VERB он_PRON мы_PRON	дар_NOUN	[0.18116736, 0.36387086, 0.19783124, 0.21235688, 0.11338728, 0.37190655, 0.18812616, 0.21582744, 0.5467201]	[0.529652937360799, 0.5671511576806633, 0.5364527535160672, 0.540818506360201, 0.5213186666221701, 0.5692521222071565, 0.5365262818542189, 0.5411893606451145, 0.6027330251484126]
16	дар	2.1	6	36-40	Смерть любимых, дорогих людей – это дар, который помогает понять то важное, для чего мы здесь	Смерть любимых, дорогих людей – это   который помогает понять то важное, для чего мы здесь	смерть_NOUN любимый_NOUN дорогой_ADJ человек_NOUN это_PRON который_DET помогать_VERB понимать_VERB то_PART важный_ADJ для_ADP что_PRON мы_PRON здесь_ADV	дар_NOUN	[0.39031732, 0.18988931, 0.25520676, 0.22937465, 0.22003047, 0.2056307, 0.38962755, 0.24333748, 0.12649195]	[0.5636144065741111, 0.5351981309745064, 0.5469695629066235, 0.5440732580329467, 0.5413000978857497, 0.538461743374626, 0.5752094008515404, 0.546410967734224, 0.5240933811984756]
17	дар	2.1	0	31-35,112-116	Пенсия – это просто счастливый дар судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не дар, а просто заработанное им расчетливо утаено государством	Пенсия – это просто счастливый  судьбы, – продолжал Сергей Николаевич, нимало не понимая, что это никакой не   а просто заработанное им расчетливо утаено государством	пенсия_NOUN это_PRON просто_PART счастливый_ADJ судьба_NOUN продолжать_VERB сергей_NOUN николаевич_NOUN нимало_ADV не_PART понимать_VERB что_PRON это_PRON никакой_DET не_PART а_PART просто_PART заработать_VERB они_PRON расчетливый_ADJ утаивать_VERB государство_NOUN	дар_NOUN	[0.5571618, 0.2469603, 0.3518233, 0.2080281, 0.30475715, 0.34575826, 0.35603407, 0.26236624, 0.2798545]	[0.5589900685166334, 0.5297289620473993, 0.5420563006279139, 0.5259905822029739, 0.5371483039785474, 0.541963986040981, 0.5448313071100204, 0.5325300677072935, 0.5345730178085688]
18	дар	2.1	5	81-88	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью, дарами природы к почти голодному столу	С каждым годом множилось число тех, кто любил пострелять и попользоваться дичью,  природы к почти голодному столу	с_NOUN каждый_DET год_NOUN множиться_VERB число_NOUN тот_DET кто_PRON любить_VERB пострелять_VERB и_SCONJ попользоваться_VERB дичь_NOUN природа_NOUN к_NOUN почти_ADV голодный_NOUN стол_NOUN	дар_NOUN	[0.50668263, 0.4504608, 0.41289055, 0.35741454, 0.29769278, 0.5260226, 0.40571412, 0.39306572, 0.39396283]	[0.5665618150762938, 0.5670422982015997, 0.5611559643970072, 0.555300270692571, 0.5450427864611777, 0.5788392788232253, 0.5632981955551957, 0.560337075634545, 0.5602680088347354]
19	дар	2.1	3	36-41	Труд тысяч и тысяч мастеров, лучшие дары земли, стояли, лежали и висели перед ним	Труд тысяч и тысяч мастеров, лучшие  земли, стояли, лежали и висели перед ним	труд_NOUN тысяча_NOUN и_SCONJ тысяча_NOUN мастер_NOUN хороший_ADJ земля_NOUN стоять_VERB лежать_VERB и_SCONJ висеть_VERB перед_ADP он_PRON	дар_NOUN	[0.40725845, 0.22215293, 0.25686866, 0.2551266, 0.21593688, 0.2891101, 0.26109114, 0.23280434, 0.16660267]	[0.5663436340699599, 0.5411534706902094, 0.5472735935425874, 0.5489912330072434, 0.5405351348146926, 0.5539718913321702, 0.5506095993873632, 0.5444128504959408, 0.531715365783579]
20	дар	2.1	3	103-108	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие дары моря!	Так наш завтрак еще в Лагуне? – В этом вся прелесть! – воскликнула Наташа. – Прямо из воды – свежайшие  моря!	так_ADV наш_DET завтрак_NOUN еще_ADV в_NOUN лагуна_NOUN в_NOUN это_PRON весь_DET прелесть_NOUN восклицать_VERB наташа_NOUN прямо_PART из_ADP вода_NOUN свежий_ADJ море_NOUN	дар_NOUN	[0.35837758, 0.1771409, 0.19592874, 0.22570904, 0.18286033, 0.15501301, 0.19624801, 0.21128146, 0.0754607]	[0.5466891695808166, 0.5262001455539248, 0.5288050360931503, 0.5346144114919746, 0.5274023603820271, 0.5231473915512145, 0.5303979858983038, 0.532178747331369, 0.511467289211624]
21	дар	2.1	5	43-49	В те времена охота, рыболовство, собирание даров леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью	В те времена охота, рыболовство, собирание  леса, в том числе и грибов, было не забавой […], но бытом, повседневностью, жизнью	в_NOUN тот_DET время_NOUN охота_NOUN рыболовство_NOUN собирание_NOUN лес_NOUN в_NOUN том_NOUN число_NOUN и_SCONJ гриб_NOUN быть_VERB не_PART забава_NOUN но_SCONJ быт_NOUN повседневность_NOUN жизнь_NOUN	дар_NOUN	[0.311097, 0.4038909, 0.350459, 0.24717972, 0.26207265, 0.46977818, 0.36694232, 0.3389491, 0.39991328]	[0.5377519131102562, 0.5554099266104934, 0.5478504128026, 0.5352713499196082, 0.5365156956881988, 0.5649537790786069, 0.5527571889879744, 0.5479550162060582, 0.5563200570180097]
22	дар	2.1	3	0-5	Дары тайги выменивались на продукты морского промысла	тайги выменивались на продукты морского промысла	тайга_NOUN вымениваться_VERB на_ADP продукт_NOUN морской_ADJ промысел_NOUN	дар_NOUN	[0.3107601, 0.28055185, 0.26637003, 0.36920494, 0.2829964, 0.26447234, 0.4225806, 0.3054836, 0.18779592]	[0.5507486862070236, 0.5519019664720829, 0.549011192098791, 0.5706496652421074, 0.5530399052199972, 0.5494038421228138, 0.5814615113964573, 0.5581675492478293, 0.5357368470984828]
23	дар	2.1	0	91-97	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым дарам Угрюм-реки и не удивляется	Один за другим беспрерывно шлепаются в лодку золотистые караси. […] Прохор привык к щедрым  Угрюм-реки и не удивляется	один_DET за_ADP другой_DET беспрерывный_ADJ шлепаться_VERB в_NOUN лодка_NOUN золотистый_ADJ карась_NOUN прохор_NOUN привыкать_VERB к_NOUN щедрый_ADJ угрюмый_ADJ река_NOUN и_SCONJ не_PART удивляться_VERB	дар_NOUN	[0.7531211, 0.31753352, 0.43184838, 0.34359467, 0.3427364, 0.3976531, 0.42096314, 0.3693876, 0.25753662]	[0.6209667614026362, 0.5586842328199068, 0.579046030753896, 0.5658078843067446, 0.5641240613114294, 0.5739783457251805, 0.5811552387437565, 0.5701889208658522, 0.5489347948982604]
24	дар	2.3	3	0-4	Дар оратора	оратора	оратор_NOUN	дар_NOUN	[0.22610167, 0.21086004, 0.2013108, 0.2230672, 0.1334216, 0.21123214, 0.10415228, 0.19507079, 0.21330066]	[0.536983446546926, 0.5390702322965327, 0.5370915749994054, 0.5428673465369492, 0.5250795902998514, 0.5395051473087025, 0.5202470461002967, 0.5372435269184778, 0.5405702460975822]
25	дар	2.3	0	20-24	У нее с детства был дар передразнивать знакомых	У нее с детства был  передразнивать знакомых	у_NOUN она_PRON с_NOUN детство_NOUN быть_VERB передразнивать_VERB знакомый_NOUN	дар_NOUN	[0.3419279, 0.22590238, 0.21424389, 0.16867271, 0.18348005, 0.24888803, 0.1957511, 0.21053495, 0.20159374]	[0.5438519522889431, 0.5328629301843256, 0.5309907627723204, 0.525474225221298, 0.5270581020906285, 0.5365345005758629, 0.5298395595601538, 0.5315561668022497, 0.5301159288606664]
26	дар	2.3	7	128-132	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий дар	Писатель не творит ее [литературу], а как бы исполняет, улавливая сигналы. Чувствительность к такого рода сигналам и есть Божий	писатель_NOUN не_PART творить_VERB она_PRON литература_NOUN а_PART как_ADV бы_PART исполнять_VERB улавливать_VERB сигнал_NOUN чувствительность_NOUN к_NOUN такой_DET род_NOUN сигнал_NOUN и_SCONJ быть_VERB божий_ADJ	дар_NOUN	[0.4696972, 0.69317263, 0.6453552, 0.42380148, 0.41602713, 0.72822505, 0.42189798, 0.632006, 0.5679618]	[0.5465995977362851, 0.5775161075591916, 0.5718322216713135, 0.5494116864586482, 0.547381012802032, 0.5821188520321297, 0.5496629315819831, 0.5728801411335587, 0.5653622189033974]
